Name,review,Sentiment
Shivam pandey,Excellent product for this price range. Battery life and connectivity is good. It has minimum bloatware and there is no unwanted applications. Camera quality is good for this price. Sound quality can be little more improved. Eyecare feature seems to be very interesting which reduces our eyestrain and also beneficial to children's eyes when using the mobile. It has overall meet my expectations. Thank you Techno POP 8!!,Positive Review
Oppo F23 5G,Good product,Negative Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Negative Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Negative Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Negative Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Negative Review
lalit,battery drain very fast,Negative Review
Chulhai Rai,Good product,Negative Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Negative Review
Oppo F23 5G,Good product,Negative Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Positive Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Negative Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Positive Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Negative Review
lalit,battery drain very fast,Negative Review
Chulhai Rai,Good product,Negative Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Negative Review
Oppo F23 5G,Good product,Positive Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Negative Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Positive Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Negative Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Positive Review
lalit,battery drain very fast,Positive Review
Chulhai Rai,Good product,Positive Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Positive Review
Amazon Customer,"The media could not be loaded. Very nice product,it is perfectly adjustable",Positive Review
Amazon Customer,Very useful and comfortable.,Positive Review
Mehatab s,Easy to use,Positive Review
Mehatab s,It's a good quality ring size adjuster for plus size loose fitting finger rings. Product was quickly delivered with different sizes of silicon coils that can be easily mounted on different rings as per the size. Smart product.,Positive Review
SP,It's perfect and nice,Positive Review
SP,"It is good for use, actually that extender which I am looking for for my gold ring",Negative Review
Amazon Customer,Fitting is best,Positive Review
Amazon Customer,Performance Quality Ease of use Adjustability is also great 👍🏻,Positive Review
Ear and Neck Strap,Best product that saves all my precious glasses. Let it be with the one having power or sunglasses. Best product. Very very happy.,Positive Review
Amazon Customer,Always best item,Positive Review
Amazon Customer,Very useful for people wearing glasses. Works well while on beach or playing.,Positive Review
Kindle Customer,"Terrific purchase, very useful product. It really gives very good grip to your specs and save you from big hassle of handling slipping specs.",Negative Review
Jitendra,It got loose after only one use. I hope for good but not fully satisfied.,Positive Review
Piyush Tripathi,Good product,Positive Review
Priyanka,"So wonderful, good grips",Positive Review
Aditya Negi,Feel comfortable... Almost fit for all spectacles.. Frame,Positive Review
Mask chain Multy Pearl,"I love the lanyard. It can be used with mask and they have provided hooks, so it could be uaed with goggles as well. The beads are colorful and amazing qualitu, so can wear as bracelet as well. The surprise was that this lanyard was accompanied with a very cute mask. Must go for this product.",Positive Review
Amazon Customer,"Had ordered it for a family member just ten days back and liked the style n that I received a mask along with it. So I ordered it again for myself but didn't receive any mask this time which is a bit downer as it shows brand inconsistency as this second order was within the span of just 10 days.But otherwise the product is cute and stylish, comes in a good packaging. If only the price could have been a little less, that would have been better. Durability will have to be tested with time.",Positive Review
Amazon Customer,"I did not like the product, the quality is ok but the length is less :(Anyways I’m using it :(",Negative Review
Bishneet Kaur,"Looks pretty and comes in a case. Got a black mask along wid it. Happy Wid the purchase, worth buying 👍🏻",Positive Review
Bishneet Kaur,"The beads are tiny..And the length is less ...Consider increasing the size of the beads a bit and the length, and it will be worth buyingUpdate------ it broke off maybe aftr just 30-40 times that I must have used it ......too flimsy ....avoid buying please. You will get it cheaper at your local shop",Positive Review
Amazon Customer,Just a week of use as yet. Good product.,Positive Review
Sunitha,The length of the chain is very short...and beads are cheap quality,Negative Review
Yasa Dusu,Good and colourful,Positive Review
GoSriKi Women's Rayon Blend Straight Printed Kurta with Pant & Dupatta,Very beautiful outfit fabric Is awesome and fitting is perfect .very comfortable to wear and value for money also.,Positive Review
Amazon Customer,"Lovely suit at a very good price , stitching is good , got XL size , fits beautifully, material is soft and comfortable, pant and dupatta is good , the gota on the dupatta is flimsy, may rip off , Don’t know how it will be after wash , will try dry cleaning the first time .Happy with my purchase.",Positive Review
Amazon Customer,"Overall it's ok, but I am not happy with material. And colour is so vibrant but overall it looks cheap.",Negative Review
jay t.,Beautiful product nice fabric quality and good colour combination,Positive Review
jay t.,Febric is so soft n nice... Fitting is good ... Must buy product at this price,Positive Review
Ragini,Fabric quality is good and looks perfect,Negative Review
Richa Tripathi (happyshappymom),It is too good and perfect and delivery is very short time,Positive Review
Shivansh,Top is very nice and breathable also good for summer.eveything nice but pant was little tight and dupatta colour is little different...,Positive Review
Ring Size Adjuster for Loose Rings Glod,Good productExactly as describedUsefull too,Positive Review
Amazon Customer,"It is maid by rubber. Like spring. It is helping for ring adjustment. We can cut this spring, as much we need. I am very happy about this product.instead of thread, we can use this.it is transparent and golden colour. So it not appear like bad. It is very useful for rings lover.",Positive Review
Amazon Customer,"Looks little expensive for just 4 coils, but they work like magic if you love wearing rings and want to fit it into different fingers. Some rings will fit well in certain fingers, but not on others, these coil helps to resize and adjust .It’s practically invisible, unless u point and focus on it. I wrapped it around a brass ring and works seamless !!It is uncomfortable for a few hours , but u get used to it. But take note , if u use hand creams, it will settle down inbetween the coil spaces, but super easy to clean it off while washing your hands.Over all useful product if you love finger rings !!",Negative Review
Gr8,"These ring adjusters have been a greatest purchase, earlier I use to wrap threads or tape around my ring so it will fit and those were very uncomfortable, but these ring adjusters have made it so much more easier for me to wear my favorite ring without being uncomfortable.",Positive Review
Mahizhan,"Not useful if you remove and wear the ring on a daily basis. The adjuster comes off. Possibly may be useful, if the ring is worn permanently and not removed",Negative Review
Mahizhan,Wonderful option to tighten rings without alteration...different size adjustments according to the rings...liked it very much..,Positive Review
Bharath Sivaraman,easy to use n to even remove if not needed,Negative Review
Bharath Sivaraman,I like the product,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
Amazon Customer,One of the best shoes have ever used. Completed 10k Marathon with ease. Go for it without second thoughts.,Positive Review
Amazon Customer,I like these shoes because it is comfortable and good looking. .,Positive Review
Santhakumar,"The shoe is extremely light and soft when you wear it. The down side of that is it will get worn out fast with rough use. I have only used it for walking on the road and in 2 months it has begun to show signs of wearing out. It is also a little narrow so people with broad feet might need to order a larger size and make sure the laces are all opened up till the end before they wear the shoe for the first time.Can't overemphasize the softness and comfort of the shoe enough.This is a made in India product and not as top-notch as the foreign made ASICS shoes, but I'm happy with the product for the price of about 1.75K",Positive Review
mukul chitransh,"After six months of use found good product comfortable, flexible and value for money.",Negative Review
mukul chitransh,Fit and finish off the shoes is perfect as expected from the brand. Working without any trouble after 270 km of jogging. There is a noticeable loss of cushioning after around 250 km. Other than that it is perfect.,Positive Review
B S F,"The sports shoe is good, durable and stylish.",Positive Review
braj,"Nice choice for jogging, quite comfortable 👍",Positive Review
Novi,Do not buy it,Negative Review
Amazon Customer,The embroidered saree with good fabric quality matches with my boho soul,Positive Review
Amazon Customer,Go for it. Good at price per the price band.,Positive Review
anjali,Very beautiful,Positive Review
Jagadish Sarkar,"Product is good but as per money need to improve product by height & weight also.Height is small, weight is too light this 2 need to improve.",Negative Review
Yasheel p.,Very good,Positive Review
Ajay kamble,Unlike what is mentioned about the product it is of sub standard quality. It is made of polyester material.,Negative Review
Apurba Dan,Good material n appearance,Negative Review
Amazon Customer,The media could not be loaded. Very nice product very beautiful 🤩❤️,Positive Review
Amazon Customer,Sadi beautiful,Positive Review
Amazon Customer,Quality is not good. And i received damaged and stained product,Negative Review
Koshal Singh,I purchased it but the quality of the product is amazing ...it gives a very good comfort and appearance is preety well which you could see ....the amazing print is good simple saree for office wear is the thing,Positive Review
Siddharth,uncomfortable and quality is not really god,Negative Review
Diceygirl,I like this product,Negative Review
Diceygirl,Totally falsely. Worst quality.,Negative Review
Mahesh pathak,"A saree ordered from Amazon received without price tag, as it was packed so it was not possible to see the tag at that time. After open the package, the product was Without price tag and the product is not looking good, so i decided to return it, but delivery boy at the time of pickup has refused to pickup as there was no price tag.So there service of Amazon is very bad, ther higher authority should look into the matter seriously",Negative Review
Amazon Customer,nice productawesome tastevalue for money,Positive Review
Amazon Customer,Best on TestQuality is bestAlso packaging is to goodBlindly go for it,Positive Review
Sanatan Maji,The container is broken shameless,Negative Review
hemant tiwari,The product is very good and healthy,Negative Review
hemant tiwari,Nice ☺️,Positive Review
Sukant m.,Good products,Positive Review
J star,Best in taste,Positive Review
J star,Tasty crunchy Healthy 😋,Positive Review
Symbol Premium Men's Allday Fresh Oxford Shirt,The fit and material is great.The fibre is stretchable and has a premium feel to it.Color also not fade while washing.A good product,Negative Review
